Episode 140/500, Total Reward: 250.99029779748966
Episode 141/500, Total Reward: -380.4353223203172
Episode 142/500, Total Reward: -156.9877420969259
Episode 143/500, Total Reward: -78.19157527481292
Episode 144/500, Total Reward: -325.8859143602974
Episode 145/500, Total Reward: -1118.4859703694706
Episode 146/500, Total Reward: -837.7389977310204
Episode 147/500, Total Reward: -2657.9609643507283
Episode 148/500, Total Reward: -200.06971943950776
Episode 149/500, Total Reward: -4965.244674515546
Episode 150/500, Total Reward: -2390.793840043668
Episode 151/500, Total Reward: -4460.510201352982
Episode 152/500, Total Reward: 123.63569667728103
Episode 153/500, Total Reward: -560.7175601727835
Episode 154/500, Total Reward: -437.7476571670566
Episode 155/500, Total Reward: -706.76610512059
Episode 156/500, Total Reward: -178.37614331691844
Episode 157/500, Total Reward: -4213.482787319679
Episode 158/500, Total Reward: -321.1218411623246
Episode 159/500, Total Reward: -117.08216354661018
Episode 160/500, Total Reward: -215.05941984781145
Episode 161/500, Total Reward: -137.15413770850728
Episode 162/500, Total Reward: -341.0904665037795
Episode 163/500, Total Reward: -84.22664987306919
Episode 164/500, Total Reward: -1484.0738589789391
Episode 165/500, Total Reward: 269.82006325933617
Episode 166/500, Total Reward: -16.99581048721815
Episode 167/500, Total Reward: -520.3657420288959
Episode 168/500, Total Reward: -760.5030426609861
Episode 169/500, Total Reward: -119.31926301078313
Episode 170/500, Total Reward: -548.5410414118467
Episode 171/500, Total Reward: -133.48239063959295
Episode 172/500, Total Reward: -345.6694528626523
Episode 173/500, Total Reward: -167.69534598192382
Episode 174/500, Total Reward: -828.7277032071272
Episode 175/500, Total Reward: -548.4142688883087
Episode 176/500, Total Reward: -227.68232362601015
Episode 177/500, Total Reward: -379.5445927352643
Episode 178/500, Total Reward: -201.42070052394547
Episode 179/500, Total Reward: -142.2508865634133
Episode 180/500, Total Reward: -129.96909513943174
Episode 181/500, Total Reward: -251.4186909752838
Episode 182/500, Total Reward: 268.9423395288876
Episode 183/500, Total Reward: -283.1757398679067
Episode 184/500, Total Reward: 14.605495591456787
Episode 185/500, Total Reward: -207.40737445722232
Episode 186/500, Total Reward: -1601.5713396539777
